participant,condition,learningtype,item,itemgroup,verbtype,known,input,testmoment,bin_score,frequency,cognate,vowellength,vowelchange,structure,syllables,verbclass,lextale,age,gender,L11,L12,bilingualism,usage,proficiency_overall,proficiency_oral,proficiency_written,comprehension_oral,comprehension_written,proficiency_average,L21,L22,L23,L2s_amount
pp01,IMP,incidental,sehen,CRIT_B,critical,ACT,no,T1,1,6771,yes,long,e-i,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,sprechen,CRIT_B,critical,ACT,no,T1,0,3598,yes,short,e-i,S-V-PP-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,sterben,CRIT_B,critical,ACT,no,T1,0,858,yes,short,e-i,ITR,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,verraten,CRIT_B,critical,PASS,no,T1,1,234,yes,long,a-ae,S-V-OD-OA,3,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,waschen,CRIT_B,critical,ACT,no,T1,0,118,yes,short,a-ae,S-V-OA-PP,2,strong,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp02,EXP,explicit,bezahlen,CONTR_A,control,ACT,yes,T1,1,552,yes,long,none,S-V-OA-PP,3,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,brauchen,CONTR_A,control,ACT,yes,T1,1,1799,no,diphtong,none,S-V-OA-PP,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,folgen,CONTR_A,control,ACT,yes,T1,0,1133,yes,short,none,S-V-OD-PP,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,fragen,CONTR_A,control,ACT,yes,T1,1,2461,yes,long,none,S-V-OA-PP,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,gehen,CONTR_A,control,ACT,yes,T1,1,7302,yes,long,none,ITR,2,irregular,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,kaufen,CONTR_A,control,ACT,yes,T1,1,740,yes,diphtong,none,S-V-OA-PP,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,kochen,CONTR_A,control,ACT,yes,T1,1,97,yes,short,none,S-V-OA-PP,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,parken,CONTR_A,control,ACT,yes,T1,1,25,yes,short,none,S-V-OA-PP,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,planen,CONTR_A,control,ACT,yes,T1,1,381,yes,long,none,S-V-OA-PP,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,reden,CONTR_A,control,ACT,yes,T1,1,906,no,long,none,ITR,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,regeln,CONTR_A,control,ACT,yes,T1,1,123,yes,long,none,S-V-OA-PP,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,rennen,CONTR_A,control,ACT,yes,T1,1,172,yes,short,none,S-V-OA-PP,2,irregular,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,senden,CONTR_A,control,ACT,yes,T1,1,168,yes,short,none,S-V-OA-PP,2,irregular,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,setzen,CONTR_A,control,ACT,yes,T1,1,2208,yes,short,none,S-V-OA-PP,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,tanzen,CONTR_A,control,ACT,yes,T1,1,189,yes,short,none,ITR,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,verpacken,CONTR_A,control,ACT,yes,T1,0,44,yes,short,none,S-V-OA-PP,3,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,baden,CONTR_B,control,ACT,no,T1,1,63,yes,long,none,ITR,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,bauen,CONTR_B,control,ACT,no,T1,1,830,yes,diphtong,none,S-V-OA-PP,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,bekommen,CONTR_B,control,ACT,no,T1,1,1523,no,short,none,S-V-OA-PP,3,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,bestellen,CONTR_B,control,ACT,no,T1,1,304,yes,short,none,S-V-OA-PP,3,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,fegen,CONTR_B,control,ACT,no,T1,1,35,yes,long,none,S-V-OA-PP,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,hassen,CONTR_B,control,ACT,no,T1,1,91,yes,short,none,S-V-OA-PP,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,holen,CONTR_B,control,NT,no,T1,0,716,yes,long,none,S-V-OA-PP,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,jagen,CONTR_B,control,ACT,no,T1,0,166,yes,long,none,S-V-OA-PP,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,kennen,CONTR_B,control,ACT,no,T1,0,1449,yes,short,none,S-V-OA-PP,2,irregular,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,klagen,CONTR_B,control,ACT,no,T1,1,169,yes,long,none,S-V-PP-PP,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,legen,CONTR_B,control,ACT,no,T1,0,1509,yes,long,none,S-V-OA-PP,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,machen,CONTR_B,control,ACT,no,T1,1,8089,yes,short,none,S-V-OA-PP,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,rauchen,CONTR_B,control,ACT,no,T1,1,186,yes,diphtong,none,S-V-OA-PP,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,retten,CONTR_B,control,ACT,no,T1,1,427,yes,short,none,S-V-OA-PP,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
